ENTITY_ID,ENTITY_LOCATION_ID,ENTITY_LOCATION_NAME,ENTITY_NAME,ENTITY_TYPE,REVIEW_BODY,REVIEW_DATE,REVIEW_RATING_FOOD,REVIEW_RATING_GLOBAL,REVIEW_RATING_SERVICE,REVIEW_RATING_VALUE,REVIEW_TITLE,USER_ID,USER_LOCATION,USER_NAME;
"d731402,g186338,London,The Wolseley,Restaurant,""Popped in here for breakfast on a whim over Christmas period. Was absolutely buzzing at 11am. Almost didn't get a table (no booking). I was very hungry and thirsty as I had just done a few laps of Hyde Park. First disappointment was the fact that it took an way too long for the cappuccinos to arrive. They eventually turned up, when I prompted the waiter, after our food arrived. I went for the full English, which was perfectly acceptable, aside from the overly charred bacon (lots of it though) and the minute portion of black pudding (the highlight taste wise). My wife's French Toast though was totally decimated. I was slightly embarassed looking at this as I had been banging on about what an institution The W was. £48 for burnt food and 2 coffees is in no way acceptable. Anyway will probably stick to lunch or dinner next time after previous positive experiences. The service was excellent. Building stunning."",Date of visit: December 2011,2,2,3,1,Stunning building but overburnt breakfast,UID_e3,""Elstree, United Kingdom"",anonymized3";
"d731402,g186338,London,The Wolseley,Restaurant,""Love The Wolseley for its location in Central London with a great breakfast. Staff always friendly and helpful."",Date of visit: July 2012,-1,4,-1,-1,Perfect for Breakfast,UID_e5,""London, United Kingdom"",anonymized5";
"d776287,g186338,London,The Ivy,Restaurant,""2 of us went for supper...we sat at the bar....the vibe is now so different after the makeover....it's much better....and will become a favourite.....the food is ok, it's not fab...but the prices are reasonable....."",Date of visit: October 2016,4,5,5,4,I was never crazy about the ivy....until the makeover....,UID_e1,""London, United Kingdom"",anonymized1";
"d776287,g186338,London,The Ivy,Restaurant,""Our first visit here and we loved it. From the moment we arrived we found it to be a relaxing first class dining experience. Our table was booked for 1215 for Sunday lunch and were informed on booking that we would need to finish by 1400. We were a little concerned that it all might be a little rushed - it was anything but. The staff were first class, friendly & efficient whilst our lunch was simply lovely. The crab bisque soup was stunning, the thai sea bass was a taste sensation & the chocolate soufflé sublime. We don't have a single negative thing to say!! We are so looking forward to another visit."",Date of visit: January 2016,5,5,5,5,Loved it!,UID_e6,uk,anonymized6";
"d776287,g186338,London,The Ivy,Restaurant,""Had an enjoyable dinner here, taken by friends. Have dined here many times over the years but on this occasion felt both the food standard and service had dropped.The portions seemed to be smaller and not as """"crisp"""" as I remembered from previous visits andthe service was not at all sharp, as commented by other guests. Time for a major shake up in all departments if they want to stay on top form."",Date of visit: October 2012,-1,4,-1,-1,Its Good but standards falling !,UID_e2,""London, United Kingdom"",anonymized2";
"d776287,g186338,London,The Ivy,Restaurant,""Are you a celebrity who wants to be seen? Are you a celebrity spotter and don’t know the difference between a good and a bad restaurant? Are you a diner looking for a nice meal? If you’re the latter look elsewhere otherwise try your best to secure a reservation before telling the Facebook world who you were sat next to in the Ivy.For the record we were sat near Ronnie Wood but we didn’t post this on Facebook :-)Firstly the place is pretentious, over hyped and extremely cramped – our table for two was so small we had to sit side by side rather than opposite each other. The waiter made us feel that we should be honoured to eat there and that we were fortunate enough to be served by such an amazing person.The food was medicore, the shell fish dishes had all but sold out (five on the menu and one available), the service lazy and the other diners were more interested at rubber necking who had just walked through the door rather than concentrate on their food.The only reason I suspect celebrities come here is convenience before heading for its members only club upstairs. Especially as the Ivy group has a far better restaurant in J.Sheekey which is only a few minutes walk away.The only positive point is that it is not too expensive, we paid £136 for 3 courses, water and a bottle of wine for two people. If you’re not a celeb expect a reservation at 10pm on a Tuesday night!"",Date of visit: October 2012,2,2,1,4,Great for celebrity spotting but nothing more,UID_e4,UK,anonymized4";
"d776287,g186338,London,The Ivy,Restaurant,""I love eating here whether it's with my family for an early Sunday lunch or a boozy late lunch with clients. It's got a great, buzzy vibe no matter when you go. The staff are always friendly and efficient, particularly the door staff. The majority of the food is excellent and reasonably good value for money. Whilst I would stay away from the rib eye steak, I can recommend the squid salad, steak tartare and pork cheeks. Perhaps somewhat surprisingly it's reasonably well set up for taking babies with decent high chairs and buggy storage.I can't recall ever seeing any celebrities here but there is a very good reason why it's always busy -the food and atmosphere. Recommended."",Date of visit: November 2013,4,4,5,4,Always delivers,UID_e3,""Elstree, United Kingdom"",anonymized3";
"d776287,g186338,London,The Ivy,Restaurant,""I have been coming for years. Always good atmosphere and fun people watching. The food is always good and quick."",Date of visit: July 2012,-1,4,-1,-1,Consistently Good,UID_e5,""London, United Kingdom"",anonymized5";
"d719379,g186338,London,J. Sheekey,Restaurant,""The food is great, the service great, the people watching great...if your tired of J Sheekey you are tired of life!My tip...don't sit near the door...it can get very drafty and cold... or the tables as you can see very little... or the toilet, the view is not great and it can be a little bit of a squeeze if you are on the end."",Date of visit: January 2012,5,5,5,5,Another fab night at the oyster bar...,UID_e1,""London, United Kingdom"",anonymized1";
"d719379,g186338,London,J. Sheekey,Restaurant,""We ate from the £26.50 weekend lunch menu which gave a choice of three dishes over three courses. The food was tasteful and nicely cooked but it didn't have the wow factor. Maybe we should have eaten from the A La Carte but having eaten from the Petrus (£30) 3 course menu the day before, which was stunning, we thought we would compare. Sadly J Sheekey whilst good does not compare to Petrus. Our waitress was first class (Eliziabeth), could not have been more friendly and helpful. The ambiance was fine but the room we were seated in was a little old fashioned (wood panelling and lots of old film star pictures on the walls). The lunch was enjoyable, the food good but for the price and reputation should have been better."",,-1,3,-1,-1,Good but not the cheapest,UID_e6,uk,anonymized6";
"d719379,g186338,London,J. Sheekey,Restaurant,""Best Fish in London and on par with a Jersey classic. Excellent market fresh fish, mushroom soup, cheese, wine always chilled and spot on service. Always bust and a bit noisy but has charm and its a real pleasure to visit anytime."",Date of visit: October 2013,-1,5,-1,-1,A Must when in Covent Garden,UID_e2,""London, United Kingdom"",anonymized2";
"d719379,g186338,London,J. Sheekey,Restaurant,""We have visted J.Sheekey on a number of occasions now and it has always been fantastic.The Lobster mayonnaise is one of the best tasting lobsters we’ve ever had (and we’ve eaten Maine lobster in New England), the Scallops in the half shell are delicious and we have never been let down by the seafood. Surprisingly one of the best things they sell is dessert – if they opened a bakery next door they could do a roaring trade.If you’re looking for good seafood restaurants in London there is not much better than J.Sheekey"",Date of visit: May 2013,5,5,4,3,Always on form,UID_e4,UK,anonymized4";
"d719379,g186338,London,J. Sheekey,Restaurant,""Hadn't been here for years. Only booked because I couldn't get a decently timed table anywhere else. Thus I approached with slight intrepidation. Soon as I walked through the door all fears were blown away. Service was class throughout including the cloakroom. Fantastic mix of punters from established regulars to eager youngsters and people on business smashing the lobster fruit de mer. Was buzzing all evening. Menu isn't that big but it was so hard to chose. I kicked off with the sauted octopus with chorizo and broad beans. Pretty simple but very effective. Followed this up with the mixed roasted shell fish. Standard fair with half a lobster";" 3 juicy prawns and one of the scallops with chorizo off the starters menu. The real star though was the razor clams. Not sure what herbs they were cooked in but they were mouth watering. In my opinion every good fish restaurant needs a quality dessert selection. I couldn't help but noticing the adjacent table ordering off menu and having frozen mixed berries with hot white chocolate. Have had this before at Scotts a fair few times. If I have one slight reservation about the whole meal it was that the chocolate sauce could have been a little warmer. Minor gripe though, all the food was delicious. Was slightly surprised when I saw this in Time Out's Top 30 London restaurants but on this showing it was very well deserved. Will be back again a lot sooner."",Date of visit: August 2015,5,5,5,4,Its been too long...........,UID_e3,""Elstree, United Kingdom"",anonymized3"
"d719379,g186338,London,J. Sheekey,Restaurant,""Such a great restaurant. Love Marco (one of the managers) he used to work at E&O. Perfect place for fish - always try and sit and eat at the bar."",Date of visit: July 2012,-1,5,-1,-1,Sit at the bar,UID_e5,""London, United Kingdom"",anonymized5";
